date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:03	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/zonex/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from https://zonexdev/)
21:34:03	2781/2781	---M-Z	200	added ('OK')	application/x-javascript	etag:%22add-64d0ce4e-a272340a1bfa57b2;gz%22	https://zonexdev/assets/js/jquery.fitvids.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.fitvids.js	(from https://zonexdev/)
21:34:03	14916/14916	---M-Z	200	added ('OK')	application/x-javascript	etag:%223a44-64d0ce4e-de5bac8a2e92e8dc;gz%22	https://zonexdev/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/owl.carousel.min.js	(from https://zonexdev/)
21:34:04	6775/6775	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a77-64d0ce4e-46ab2d936c8ed621;gz%22	https://zonexdev/assets/js/nivo-lightbox.min.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/nivo-lightbox.min.js	(from https://zonexdev/)
21:34:04	15965/15965	---M-Z	200	added ('OK')	application/x-javascript	etag:%223e5d-64d0ce4e-1c7efa63ab27247d;gz%22	https://zonexdev/assets/js/jquery.isotope.min.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.isotope.min.js	(from https://zonexdev/)
21:34:04	3188/3188	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c74-64d0ce4e-fbaae59f5aade982;gz%22	https://zonexdev/assets/js/jquery.appear.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.appear.js	(from https://zonexdev/)
21:34:04	2542/2542	---M-Z	200	added ('OK')	application/x-javascript	etag:%229ee-64d0ce4e-3cb31cf3e9963ff9;gz%22	https://zonexdev/assets/js/count-to.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/count-to.js	(from https://zonexdev/)
21:34:05	7117/7117	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bcd-64d0ce4e-57f806ff8fa5fb99;gz%22	https://zonexdev/assets/js/jquery.textillate.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.textillate.js	(from https://zonexdev/)
21:34:05	1715/1715	---M-Z	200	added ('OK')	application/x-javascript	etag:%226b3-64d0ce4e-444d8e6c8a8961d4;gz%22	https://zonexdev/assets/js/jquery.lettering.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.lettering.js	(from https://zonexdev/)
21:34:05	23077/23077	---M-Z	200	added ('OK')	application/x-javascript	etag:%225a25-64d0ce4e-6090ce6e8e120832;gz%22	https://zonexdev/assets/js/jquery.parallax.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.parallax.js	(from https://zonexdev/)
21:34:05	16748/16748	---M-Z	200	added ('OK')	application/x-javascript	etag:%22416c-64d0ce4e-dfe403da669e2326;gz%22	https://zonexdev/assets/js/jquery.slicknav.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.slicknav.js	(from https://zonexdev/)
21:34:06	113138/113138	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b9f2-64d0ce4e-dce856a88718997d;gz%22	https://zonexdev/assets/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.themepunch.revolution.min.js	(from https://zonexdev/)
21:34:06	98511/98511	---M-Z	200	added ('OK')	application/x-javascript	etag:%22180cf-64d0ce4e-494780fa8de5a363;gz%22	https://zonexdev/assets/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/jquery.themepunch.tools.min.js	(from https://zonexdev/)
21:34:06	63460/63460	---M-Z	200	added ('OK')	text/css	etag:%22f7e4-64d0ce4e-7c83f43166586463;gz%22	https://zonexdev/assets/scrollingAnimation/animate.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/scrollingAnimation/animate.css	(from https://zonexdev/)
21:34:06	730/730	---M-Z	200	added ('OK')	application/x-javascript	etag:%222da-64d0ce4e-22ddfaec8e87fa6d;gz%22	https://zonexdev/assets/js/index.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/index.js	(from https://zonexdev/)
21:34:07	18860/18860	---M-Z	200	added ('OK')	text/css	etag:%2249ac-64d0ce4c-2152593527d6c24;gz%22	https://zonexdev/assets/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/bootstrap-theme.min.css	(from https://zonexdev/)
21:34:07	19473/19473	---M-Z	200	added ('OK')	text/css	etag:%224c11-64d0ce4c-148b2e169c9c79f1;gz%22	https://zonexdev/assets/css/bootstrap-social.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/bootstrap-social.css	(from https://zonexdev/)
21:34:07	9226/9226	---M-Z	200	added ('OK')	text/css	etag:%22240a-64d0ce4c-7db4a0347e6b300f;gz%22	https://zonexdev/assets/css/templatemo_style.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/templatemo_style.css	(from https://zonexdev/)
21:34:07	323/323	---M-Z	200	added ('OK')	text/css	etag:%22143-64d0ce4c-d9c14586cd88dc6a;gz%22	https://zonexdev/assets/css/header.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/header.css	(from https://zonexdev/)
21:34:08	864/864	---M-Z	200	added ('OK')	application/x-javascript	etag:%22360-64d0ce4e-c47ebedad11c7854;gz%22	https://zonexdev/assets/js/header.js	C:/My%20Web%20Sites/zonex/zonexdev/assets/js/header.js	(from https://zonexdev/)
21:34:08	87711/87711	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:28%20GMT	https://zonexdev/request-quote	C:/My%20Web%20Sites/zonex/zonexdev/request-quote.html	(from https://zonexdev/)
21:34:08	7017/7017	---M--	200	added ('OK')	image/png	etag:%221b69-64d0ce4d-1679be2c651187aa;;;%22	https://zonexdev/assets/images/Elexoft.png	C:/My%20Web%20Sites/zonex/zonexdev/assets/images/Elexoft.png	(from https://zonexdev/)
21:34:08	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Jan%202025%2016:33:29%20GMT	https://zonexdev/.	C:/My%20Web%20Sites/zonex/zonexdev/	(from https://zonexdev/)
21:34:08	78522/78522	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:29%20GMT	https://zonexdev/services	C:/My%20Web%20Sites/zonex/zonexdev/services.html	(from https://zonexdev/)
21:34:09	67092/67092	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:29%20GMT	https://zonexdev/artificial-intelligence	C:/My%20Web%20Sites/zonex/zonexdev/Data-Science.html	(from https://zonexdev/)
21:34:09	69360/69360	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:29%20GMT	https://zonexdev/web-development	C:/My%20Web%20Sites/zonex/zonexdev/web-development.html	(from https://zonexdev/)
21:34:09	66562/66562	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:30%20GMT	https://zonexdev/mobile-apps	C:/My%20Web%20Sites/zonex/zonexdev/mobile-apps.html	(from https://zonexdev/)
21:34:10	66755/66755	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:30%20GMT	https://zonexdev/graphic-designing	C:/My%20Web%20Sites/zonex/zonexdev/graphic-designing.html	(from https://zonexdev/)
21:34:10	70984/70984	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:30%20GMT	https://zonexdev/digital-marketing	C:/My%20Web%20Sites/zonex/zonexdev/digital-marketing.html	(from https://zonexdev/)
21:34:10	60568/60568	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:31%20GMT	https://zonexdev/business-intelligence	C:/My%20Web%20Sites/zonex/zonexdev/business-intelligence.html	(from https://zonexdev/)
